director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined,Combined1
Adam Robitel,Lin Shaye,Angus Sampson,English,USA,Horror Mystery Thriller,Insidious: The Last Key,Adam Robitel Lin Shaye Angus Sampson Horror Mystery Thriller Insidious: The Last Key,Insidious: The Last Key English Horror Mystery Thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,English,USA,Thriller Drama,The Strange Ones,Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Thriller Drama The Strange Ones,The Strange Ones English Thriller Drama
Simon West,Dominic Cooper,Austin Stowell,English,USA,Action Thriller,Stratton,Simon West Dominic Cooper Austin Stowell Action Thriller Stratton,Stratton English Action Thriller
Warwick Thornton,Bryan Brown,Sam Neill,English,USA,Drama History Western,Sweet Country,Warwick Thornton Bryan Brown Sam Neill Drama History Western Sweet Country,Sweet Country English Drama History Western
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,English,USA,Action Thriller,The Commuter,Jaume Collet-Serra Liam Neeson Vera Farmiga Action Thriller The Commuter,The Commuter English Action Thriller
Babak Najafi,Taraji P. Henson,Billy Brown,English,USA,Thriller Action Crime,Proud Mary,Babak Najafi Taraji P. Henson Billy Brown Thriller Action Crime Proud Mary,Proud Mary English Thriller Action Crime
Brett Donowho,Bruce Willis,Cole Hauser,English,USA,Action,Acts of Violence,Brett Donowho Bruce Willis Cole Hauser Action Acts of Violence,Acts of Violence English Action
Trudie Styler,Alex Lawther,Abigail Breslin,English,USA,Comedy Drama,Freak Show,Trudie Styler Alex Lawther Abigail Breslin Comedy Drama Freak Show,Freak Show English Comedy Drama
Sam Hoffman,Jemaine Clement,Elliott Gould,English,USA,Comedy,Humor Me,Sam Hoffman Jemaine Clement Elliott Gould Comedy Humor Me,Humor Me English Comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,English,USA,Drama,Vazante,Daniela Thomas Adriano Carvalho Luana Nastas Drama Vazante,Vazante English Drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,English,USA,Fantasy Adventure Animation,Mary and the Witch's Flower,Hiromasa Yonebayashi Ruby Barnhill Louis Ashbourne Serkis Fantasy Adventure Animation Mary and the Witch's Flower,Mary and the Witch's Flower English Fantasy Adventure Animation
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,English,USA,War Drama Action History,12 Strong,Nicolai Fuglsig Chris Hemsworth Michael Shannon War Drama Action History 12 Strong,12 Strong English War Drama Action History
